"HostelName","City","StartingPrice","Distance","RatingScore","RatingBand","Atmosphere","Cleanliness","Facilities","Location","Security","Staff","ValueForMoney","lon","lat","Station","Dist_Station","lat_station","lng_station"
"Guest House Com Inn Hiroshima","Hiroshima",2900,2.5,8.9,"Fabulous",7.3,10,8,8,10,10,8.7,132.443757,34.405665,"Johoku",1.38893837807831,34.4054915,132.4588951
"Guest House Denchi","Tokyo",3600,9.2,8.9,"Fabulous",8,10,6,8,10,10,10,139.7895455,35.7128268,"Tawaramachi",0.34995813587893,35.709842,139.7907747
"Guest House Ga-Jyun","Kyoto",2000,1.4,9.6,"Superb",9.6,9.7,9.4,9.4,9.4,9.9,9.9,135.7833531,35.009131,"Hyotan-yama",1.45823741314919,35.0037565,135.7687486
"Guest House Hachi","Kyoto",3200,3.2,10,"Superb",10,10,10,10,10,10,10,135.7435285,34.9915805,"Kyoto",1.5352782950592,34.9861885,135.7590433
"Guest House Hitsuji-An","Kyoto",2200,1.3,9.8,"Superb",9.5,10,9.5,10,10,10,9.5,135.75435,35.009679,"Karasuma Oike",0.480233276366894,35.009992,135.7596091
"Guest House Hokorobi","Fukuoka-City",2400,6,8.4,"Fabulous",7.7,8.5,8.5,7.5,9.5,8.7,8.7,130.3386703,33.57777255,"Muromi",0.375236757479039,33.5809624,130.3399921
"Guest House Kaine","Fukuoka-City",2500,0.7,8.9,"Fabulous",10,9,8.5,9,7.5,10,8.5,130.403731,33.596604,"Nakasu-Kawabata",0.323536015706097,33.5945858,130.4062472
"Guest House Kyoto Inn","Kyoto",1500,3.3,8.9,"Fabulous",8.7,9.4,9,8.1,8.6,9.4,8.9,135.743165,34.990043,"Toji",1.41604834906597,34.9799452,135.7526359
"Guest House La Kongo","Osaka",2500,4.2,7.8,"Very Good",6,8,7.5,9,8,8.5,7.5,135.5078668,34.6687802,"Nippombashi",0.257192460726409,34.6669677,135.5061197
"Guest House Matsu","Osaka",1900,7.4,9.3,"Superb",9,9.7,9.2,8.7,9.3,9.7,9.5,135.495148,34.640747,"Hanazonocho",0.399958782851808,34.644166,135.496506
"Guest House ODORI","Osaka",2800,7.9,8.6,"Fabulous",10,10,8,6,8,8,10,135.5231371,34.6372998,"Fuminosato",0.468869429088303,34.6356639,135.5184136
"Guest House Onoya","Osaka",2000,3.3,9.4,"Superb",9.5,10,10,8,9,10,9.5,135.5376482,34.7025957,"Kyobashi",0.740225218789139,34.6966897,135.5339121
"Guest House Renjishi Kabuki","Kyoto",1500,2.5,8.7,"Fabulous",8,8.9,7.9,8.7,9,9.8,8.6,135.7505144,34.9949044,"Gojo",0.840423424733083,34.9954343,135.7597179
"Guest House Roku","Hiroshima",2900,2.7,9.3,"Superb",9.5,9.5,9,9,9.2,9.8,9.4,132.465716,34.4074787,"Shin-Hakushima",0.430936312366379,34.4084597,132.4611716
"Guest House Shinagawa-shuku Tokyo","Tokyo",3300,8.7,9.2,"Superb",9,9.3,9.3,8.7,9,10,9,139.7403581,35.6217794,"Shirokanedai",2.20370204906147,35.6381169,139.7265558
"Guest House Shiori Ann","Kyoto",1500,2,8.9,"Fabulous",6,8,10,9,10,9,10,135.759117,34.994889,"Gojo",0.0816862484121434,34.9954343,135.7597179
"Guest House TRACE","Tokyo",2700,8.7,7.7,"Very Good",6,6,6,8,10,8,10,139.7873683,35.69430201,"Kodemmacho",0.866772273779163,35.6913621,139.7784791
"Guest House Yahata","Kyoto",2500,2,8.6,"Fabulous",7.5,9.5,8.5,8,9.8,8.5,8.5,135.754772,34.9976055,"Gojo",0.511130372030057,34.9954343,135.7597179
"Guest House YULULU","Kyoto",1500,0.5,8.6,"Fabulous",8.3,8.6,7.8,9.5,8.5,9.4,8.3,135.7626322,35.0098862,"Karasuma Oike",0.275578505447898,35.009992,135.7596091
"Guesthouse Fete","Tokyo",2300,9.7,9.4,"Superb",9.8,9.2,8.9,8.8,9.5,9.9,9.4,139.7981,35.701441,"Asakusa",1.04689798284912,35.71085336,139.7978265
"Guesthouse Fujitatami","Osaka",2200,26.6,9.1,"Superb",9.8,9.8,9.3,6.8,9,9.8,9.3,135.4575132,34.4698056,"Nakamozu",10.5568071239839,34.5561152,135.5055107
"Guesthouse Gloire","Osaka",2800,3.9,7.1,"Very Good",8,8,8,4,6,8,8,135.511096,34.67197,"Matsuyamachi",0.420166233233053,34.675552,135.5125589
"Guesthouse HetoGep","Osaka",2500,4.5,9.1,"Superb",9.2,8.4,9.2,10,8.8,9.6,8.8,135.5049204,34.6662004,"Nippombashi",0.138959188356301,34.6669677,135.5061197
"Guesthouse Hiroshima Mange Tak","Hiroshima",2800,1.4,9.5,"Superb",8.9,9.8,9.4,9.6,9.6,9.7,9.3,132.445801,34.3952854,"Hondori",1.04881061415452,34.3933943,132.4569995
"Guesthouse Kagaribi","Tokyo",2200,11.8,8.3,"Fabulous",8,8.8,8,6.8,8,9.6,8.8,139.7957726,35.7539265,"Kita-senju",0.967875405067706,35.7495473,139.8050418
"Guesthouse Morizou Female only","Osaka",2000,3.7,10,"Superb",10,10,10,10,10,10,10,135.526955,34.6800923,"Morinomiya",0.613009528996044,34.6817307,135.5333561
"Guesthouse Origami","Kyoto",1500,1.7,8.1,"Fabulous",7.7,7.1,7.7,8.6,8.6,8.9,8,135.7550381,35.0012337,"Shijo",0.445798866290103,35.0024081,135.7597178
"Guesthouse SAI","Osaka",1800,7,8.9,"Fabulous",7.6,10,9.6,7.6,9.2,9.2,9.2,135.5661389,34.7412826,"Moriguchi",0.378886186667647,34.7383302,135.5640688
"Guesthouse Sensu","Tokyo",3300,15.7,9.3,"Superb",8,10,9.5,9,9,10,9.5,139.7405231,35.553499,"Suehirocho",3.7586557301945,35.5302804,139.7707142
"Guesthouse Shitamachi-Kujo","Kyoto",1900,3.9,9.1,"Superb",10,10,8,8,10,10,8,135.762166,34.977079,"Kujo",0.355414204151968,34.9795635,135.7597118
"Guesthouse Soi","Kyoto",1700,2.4,9.5,"Superb",9.4,9.6,9.6,8.8,9.4,9.8,9.8,135.7776103,34.9917216,"Hyotan-yama",1.56281677476258,35.0037565,135.7687486
"Guesthouse U-En","Osaka",2300,1.9,9.5,"Superb",9.3,9.6,9.3,9.4,9.4,9.8,9.5,135.4865055,34.6946473,"Higashi-Ikoma Signal Station",0.729473151151972,34.7004523,135.4902226
"Harborside Guest House MINATO","Fukuoka-City",2500,1.5,8.4,"Fabulous",7.5,9,8.5,7,9.5,9,8.5,130.406397,33.603186,"Gofukumachi",0.656708731403476,33.5978937,130.4095442
"HARUYA Hostels Aqua","Kyoto",1500,3.1,9,"Superb",9,9,9,9,9,9,9,135.748695,34.988516,"Kyoto",0.977605997075528,34.9861885,135.7590433
"HATAGO tenjin","Fukuoka-City",2300,0.6,8.4,"Fabulous",8.7,8.7,8.7,10,7.3,7.3,8,130.3976545,33.5946282,"Tenjin",0.376382114693371,33.5914006,130.3988788
"Hikari House","Tokyo",4000,1.4,7.6,"Very Good",6.3,8,6.8,9.4,6.9,8.6,7.6,139.7019965,35.6991367,"Higashi-shinjuku",0.517990244865761,35.6989445,139.7077279
"Hiromas Hostel in Akiba","Tokyo",2700,7.3,9.2,"Superb",8.7,9.6,9.2,9.1,9.1,9.4,9.6,139.7702062,35.704546,"Yushima",0.378372918206928,35.7079466,139.7700559
"Hiromas Hostel in Kanda","Tokyo",2000,7.6,9.3,"Superb",8.4,9.8,9.5,9.1,9.2,9.4,9.3,139.7763124,35.6928219,"Kodemmacho",0.254235861855727,35.6913621,139.7784791
"Hiromas Inn  Chitose-Karasuyama","Tokyo",3000,0,7.5,"Very Good",7.1,9.1,7.4,7.4,6.3,6.9,8.3,139.6033214,35.6711619,"Ogikubo",4.09974295002976,35.70566,139.61934
"Hiroshima Hana Hostel","Hiroshima",2300,2.4,9,"Superb",8.1,9.3,8.8,9.4,8.9,9.5,9,132.478765,34.395097,"Kencho-mae",1.90474006659252,34.3963499,132.4580612
"Hiroshima Hostel EN","Hiroshima",3000,2.6,9.6,"Superb",9.8,9.7,9.3,9.3,9.3,9.8,9.7,132.450789,34.408,"Johoku",0.794252186560653,34.4054915,132.4588951
