hostel.name,City,price.from,Distance,summary.score,rating.band,atmosphere,cleanliness,facilities,location.y,security,staff,valueformoney,lon,lat
AS House (Asakusa Smile),Tokyo,1600,10,7.8,Very Good,7.9,6.2,7,9,8.2,8,8.3,139.800616,35.707363
Asakusa Hostel Toukaisou,Tokyo,1300,9.3,8.9,Fabulous,7.9,9.4,8.3,9.5,9.2,8.9,9.2,139.79081,35.713177
Asakusa Ryokan Toukaisou,Tokyo,3600,9.3,8.7,Fabulous,8,8.4,8.4,8.8,8.8,9.4,8.8,139.79081,35.713177
Asakusahotel Wasou,Tokyo,2000,9.9,9.4,Superb,8.7,9.3,9,9.7,10,10,9.3,139.7966971,35.7118769
Astro Station,Tokyo,3500,3.8,8.4,Fabulous,7.1,9.1,8,9.7,7.1,8.6,8.9,139.7036929,35.7143962
B&S Eco Cube Shinsaibashi,Osaka,2600,4,8.6,Fabulous,7.5,9,8,8.5,10,8,9,135.4991771,34.6707458
Backpackers Hostel K's House Hiroshima,Hiroshima,2600,1.9,9.4,Superb,9,9.5,9.2,9.4,9.5,9.7,9.3,132.473831,34.392506
Backpackers Hostel K's House Kyoto,Kyoto,1800,2.4,9.2,Superb,9,9.3,9.2,9.1,9.5,9.4,9.1,135.764916,34.989791
Backpackers Hostel K's House Tokyo,Tokyo,2100,9.2,9.2,Superb,9.1,9.3,9,8.6,9.5,9.6,9,139.792253,35.705066
Backpackers Hotel Toyo Osaka,Osaka,1500,6.5,8.8,Fabulous,8.1,8.2,8.5,8.9,9.3,9.3,9.3,135.5041024,34.6483651
Backstage Osaka Hostel & Bar,Osaka,2200,4.5,8.8,Fabulous,8.8,8.2,8.1,9.5,8.6,9.3,9.2,135.513299,34.6670083
Beagle Tokyo Hostel & Apartments,Tokyo,3800,16.1,9,Superb,8,10,9,8,9,9,10,139.7410778,35.5504924
Bed Stock,Fukuoka-City,2500,1.1,8.9,Fabulous,8.6,9.9,8.1,9.4,8.9,9,8.6,130.3900005,33.58869512
Beehive Hostel Osaka,Osaka,2900,3.4,9.1,Superb,8.8,9.2,8.7,8.8,9.5,9.7,9.2,135.508387,34.676892
Bigtree Guesthouse,Osaka,2900,36.6,9.6,Superb,9.3,9.8,9.3,9.1,10,10,9.3,135.3233376,34.4119443
Bird Hostel,Kyoto,2700,1.1,9.3,Superb,8.9,9.5,9.5,9.4,9.2,9.5,9.4,135.7587254,35.0175416
bnb+ Ninja Dojo Ueno,Tokyo,2500,8,5.2,Rating,4,3.3,4,8.7,5.3,4.7,6.7,139.7277038,35.73285211
bnb+Shinjuku Castle,Tokyo,2500,1.3,5,Rating,2.7,4,3.3,7.3,5.3,5.3,6.7,139.7051632,35.69714117
Bonfire Hostel Osaka,Osaka,1800,9.5,9.2,Superb,7.6,9.6,10,8,9.6,10,9.6,135.506891,34.621308
Bonsai Guest House,Osaka,1800,5.9,8.7,Fabulous,7.5,9.1,8.4,9.5,8.9,8.9,8.8,135.5281825,34.65863761
Book and Bed Tokyo - Kyoto,Kyoto,3800,0.9,9.1,Superb,9,10,8.5,9.5,8.5,10,8,135.7727965,35.0041178
Book And Bed Tokyo Asakusa,Tokyo,4100,9.6,9.1,Superb,8.7,9.7,8.6,9.4,9.5,9.3,8.6,139.7949806,35.7107965
Book And Bed Tokyo Fukuoka,Fukuoka-City,4300,0.3,8.6,Fabulous,8,10,6,10,8,10,8,130.3979662,33.5909933
Book And Bed Tokyo Ikebukuro,Tokyo,4100,4.9,8.2,Fabulous,8.9,8,8,9.1,7.7,8.6,7.4,139.7085388,35.7310808
Bunka Hostel Tokyo,Tokyo,2200,9.5,9.3,Superb,8.8,9.3,9.3,9.5,9.4,9.8,9.2,139.79322,35.712108
Calendar Hotel,Kyoto,3500,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capsule Hotel Anshin Oyado Akihabara,Tokyo,6200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capsule Hotel Anshin Oyado Shinbashi,Tokyo,6000,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capsule Hotel Asahi Plaza Shinsaibashi,Osaka,3000,4,9.9,Superb,10,10,10,10,10,10,9,135.497847,34.6707858
Capsule Inn Kinshichou,Tokyo,2600,10.9,8.6,Fabulous,6,10,8,8,10,8,10,139.81198,35.6981223
Capsule Resort Kyoto Square,Kyoto,3100,1.3,9.6,Superb,9.1,10,9.6,10,9.8,9.8,9.1,135.7535562,35.0112333
Capsule Value Kanda,Tokyo,3000,7.1,8.6,Fabulous,8,8.7,7.3,9.3,8.7,9.3,8.7,139.7707637,35.6895954
Casa Macondo,Osaka,3000,5,6.9,Good,6.5,6.5,7.5,7,7,6.5,7,135.4893801,34.6633342
Centurion Cabin & Spa Kyoto,Kyoto,2500,1.1,8.9,Fabulous,7.9,9.6,9.1,9.6,8.9,8.5,8.6,135.761618,35.003533
Centurion Hotel Residential Akasaka,Tokyo,2600,4.5,9,Superb,7.5,9.3,9.3,9.3,9.5,8.9,9,139.7376971,35.6738463
Centurion Ladies Hostel Uenopark (Female only),Tokyo,2500,7.4,8.9,Fabulous,7.7,8.9,9.1,9.1,9.3,8.9,9.3,139.770129,35.709199
